# Field     ID         RA             Dec            MAG_F160W    zphot       zspec     flux        QF     EW_Lya   beta      M_UV      r_e    sel      comm.
UDS         28306      34.3560867     -5.2582278     27.13        6.007       6.142     6.5e-18     A      41       -2.74     -19.99    0.05   "2,3"    "Lya"
UDS         29191      34.5253906     -5.2412128     26.48        5.879       5.943     8.8e-18     A/B    34       -3.18     -20.57    0.06   "2,3"    "Lya"
UDS         31124      34.2537117     -5.2067928     26.89        1.260       6.464     1.5e-18     B/C    8        -2.06     -19.98    0.15   "2"      "Lya"
UDS         33304      34.5186958     -5.1694598     26.26        5.866       6.033     3.5e-18     B      16       -2.14     -20.44    0.08   "2,3"    "Lya"
COSMOS      6822       150.177171     +2.261854      25.79        0.848       5.131     0.0         B      <19      -1.69     -20.50    0.23   "2"      "Lya,break"
COSMOS      7499       150.089164     +2.26949       26.29        5.737       5.858     6.1         A/B    19       -1.30     -20.33    0.09   "2,3"    "Lya"
COSMOS      7692       150.107757     +2.271918      26.04        5.634       6.046     7.0e-18     A      24       -0.74     -20.20    0.19   "2,3"    "Lya"
COSMOS      8118       150.154944     +2.277192      26.07        1.24        5.731     2.7e-18     A/B    7        -1.71     -20.42    0.14   "2"      "Lya"
COSMOS      8474       150.106609     +2.281278      25.00        6.079       0.661     nan         A      nan      nan       nan       0.55   "2,3"    "Hbeta,OIII"
COSMOS      10699      150.118281     +2.307277      26.61        5.778       5.835     2.5e-18     C      9        -2.79     -20.33    0.02   "2,3"    "Lya"
COSMOS      12306      150.127459     +2.326425      24.31        6.197       5.908     2.8e-18     A/B    3        -1.70     -22.26    0.45   "2,3"    "Lya"
COSMOS      13679      150.099037     +2.343627      25.43        6.525       7.145     9.2e-18     A/B    15       -1.54     -21.46    0.01   "1,3"    "Lya"
COSMOS      18472      150.126605     +2.401444      25.63        5.899       5.86      0.0         C      <5       -1.94     -21.03    0.02   "2,3"    "break"
COSMOS      20521      150.139594     +2.426985      25.69        6.46        6.360     6.5e-18     B      10       -2.17     -21.13    0.17   "2,3"    "Lya"
COSMOS      21151      150.165997     +2.435793      26.23        1.522       7.040     1.65e-17    A      65       -1.25     -20.57    0.05   "1"      "Lya"
COSMOS      21411      150.183018     +2.439205      25.77        6.066       6.221     3.8e-17     A      90       -1.40     -20.77    1.51   "2,3"    "Lya"
COSMOS      22592      150.196765     +2.454824      24.15        6.39        5.60      0.0         C      <1.2     -2.28     -22.54    0.02   "2"      "break"
COSMOS      24108      150.197222     +2.478651      25.14        1.297       6.629     2.0e-17     A      27       -1.76     -21.67    0.27   "2"      "Lya"
COSMOS      25022      150.191343     +2.492327      25.99        5.847       5.62      0.0         C      <2       -1.56     -20.37    0.11   "3"      "break"
COSMOS      26366      150.161146     +2.511134      25.84        6.013       6.25      0.0         C      <2       -0.89     -20.45    0.04   "3"      "break"
COSMOS      30549      150.162535     +2.234355      26.65        1.19        6.730     3.0e-18     B/C    16       -1.76     -19.96    0.05   "1"      "Lya"
COSMOS      36393      150.118121     +2.451689      26.17        6.522       5.377     4.0e-17     B      12       -2.33     -20.146   0.30   "2,3"    "Lya"
GOODSS      10219      53.2020264     -27.8163528    26.14        5.997       6.136     4.0e-18     B      14       -1.57     -20.56    0.22   "2,3"    "Lya"
GOODSS      11464      53.1174545     -27.8051872    26.04        5.994       5.939     7.0e-18     B      22       -1.59     -20.53    0.14   "2,3"    "Lya"
GOODSS      12881      53.0694046     -27.7943935    26.11        5.9360      5.874     2.0e-18     B/C    5        -2.22     -20.70    0.37   "2,3"    "Lya"
GOODSS      13065      53.1438484     -27.7930164    28.21        6.001       6.932     2.2e-18     B      42       -1.90     -18.85    0.02   "2,3"    "Lya"
GOODSS      14439      53.1248894     -27.7841072    27.18        5.680       5.783     1.0e-17     A      50       -2.86     -19.93    0.15   "2,3"    "Lya"
GOODSS      15178      53.0558853     -27.7795563    26.78        6.018       6.266     9.1e-18     A/B    48       -1.58     -19.88    0.09   "2,3"    "Lya"
GOODSS      15404      53.0338783     -27.7780075    26.70        6.706       6.291     9.0e-18     A      44       -1.30     -19.94    0.09   "2,3"    "Lya"
GOODSS      15951      53.1050529     -27.7740688    26.91        6.997       6.634     2.0e-18     B      17       -2.03     -19.98    0.08   "1,2"    "Lya"
GOODSS      16024      53.0731506     -27.773634     25.45        5.805       5.43      0.0         C      <1.6     -1.33     -20.82    0.22   "2,3"    "break"
GOODSS      17692      53.1627693     -27.7607594    28.09        5.574       5.916     2.25e-17    A      153      -2.44     -18.93    0.04   "2,3"    "Lya"
GOODSS      20698      53.2031670     -27.7337036    25.99        6.168       6.174     1.5e-18     B/C    4        -1.45     -20.75    0.18   "2,3"    "Lya"
GOODSS      22647      53.0666809     -27.7170753    25.91        1.246       5.783     0.0         B/C    <11      -1.77     -20.78    0.92   "2,3"    "Lya"
GOODSS      26628      53.0707664     -27.7066383    26.58        5.949       5.975     2.2e-18     B      9        -2.47     -20.30    0.29   "2,3"    "Lya"
GOODSS      31131      53.1255341     -27.7866764    26.80        6.00        6.382     3.1e-18     B      26       -1.0      -19.89    0.42   "2,3"    "Lya"
GOODSS      31144      53.0830650     -27.7862740    27.31        1.306       6.269     6.0e-18     B/C    65       -1.61     -19.28    0.20   "1"      "Lya"
GOODSS      32252      53.0951385     -27.7605419    27.55        6.183       6.262     0.0         B/C    <23      -2.99     -19.64    0.08   "2,3"    "Lya"
GOODSS      33418      53.1944962     -27.7263489    27.40        6.373       7.058     1.2e-17     A      110      -2.2-     -19.54    0.04   "1,2"    "Lya"
GOODSS      33477      53.0641861     -27.7246075    27.51        6.379       6.274     6.2e-18     A/B    64       -2.18     -19.26    0.72   "3"      "Lya"
GOODSS      34061      53.0461273     -27.7082958    26.53        5.68        6.227     6.8e-18     A      36       -0.35     -19.79    0.18   "2,3"    "Lya"
GOODSS      H2525      53.145531      -27.783724     27.98        6.78        6.878     2.0e-18     B/C    18       -1.98     -19.66    nan    "1,2"    "Lya"
GOODSS      13184      53.1519318     -27.7923527    27.46        1.264       6.662     5.0e-18     A/B    81       -0.35     -19.05    0.21   "1"      "Lya"
GOODSS      15443      53.1519432     -27.7781773    25.73        5.933       5.938     3.6e-18     A      7        -1.89     -20.98    0.15   "2,3"    "Lya"
GOODSS      16371      53.1595078     -27.7714462    26.35        6.123       6.108     3.0e-18     B      11       -2.01     -20.43    0.04   "2,3"    "Lya"
GOODSS      18310      53.1419334     -27.7551537    27.26        5.867       6.046     3.0e-18     B      26       -1.66     -19.34    0.03   "2,3"    "Lya"
GOODSS      22194      53.1161804     -27.7210217    26.70        5.541       5.793     5.0e-18     B      24       -2.00     -19.90    0.35   "2,3"    "Lya"
GOODSS      26560      53.1581459     -27.7021046    24.55        6.22        5.97      0.0         C      <1.3     -1.38     -21.99    0.24   "2,3"    "break"
GOODSS      31759      53.1348877     -27.7726326    27.47        6.174       1.393     1.27e-17    A      nan      nan       nan       0.02   "2,3"    "[OII]"
GOODSS      31891      53.1742516     -27.7697887    28.75        6.386       6.630     2.0e-18     A      73       -1.85     -18.08    0.03   "1,3"    "Lya"
