#Table: J/A+A/437/883/catalog.dat (cdsarc.u-strasbg.fr)
--------------------------------------------------------------------------------------------
           | R  R          D  D      |     |    |        | Cl|                 |
CDFS_00041 |03 32 11.325 -27 48 24.53|19.17|4.14|0.679  1|1  |speCDF_00041.fits|FITS file
CDFS_00042 |03 32 28.475 -27 48 26.43|18.63|3.74|0.669  1|3  |speCDF_00042.fits|FITS file
CDFS_00047 |03 32 16.346 -27 48 23.92|19.34|4.09|1.295  1|2  |speCDF_00047.fits|FITS file
CDFS_00049 |03 32 10.221 -27 48 19.63|19.24|2.85|0.610  1|2  |speCDF_00049.fits|FITS file
CDFS_00052 |03 32 29.170 -27 48 33.05|18.80|3.23|0.431  1|2  |speCDF_00052.fits|FITS file
CDFS_00053 |03 32 20.238 -27 48 18.37|17.47|4.39|0.733  1|1  |speCDF_00053.fits|FITS file
CDFS_00054 |03 32 29.541 -27 48 12.07|19.72|5.68|-      -|-  |                 |NOT OBSERVED
CDFS_00056 |03 32 17.625 -27 48 11.72|18.62|4.89|0.734  1|-  |speCDF_00056.fits|ESO/GOODS
CDFS_00057 |03 32 17.287 -27 48 07.34|18.68|4.21|0.735  1|1  |speCDF_00057.fits|FITS file
CDFS_00059 |03 32 10.709 -27 48 07.18|18.06|4.91|0.654  1|2  |speCDF_00059.fits|FITS file
CDFS_00060 |03 32 33.062 -27 48 07.52|19.33|5.56|1.188  1|1  |speCDF_00060.fits|FITS file
CDFS_00061 |03 32 09.427 -27 48 06.86|17.86|2.53|2.828  1|4  |speCDF_00061.fits|FITS file
CDFS_00063 |03 32 18.310 -27 48 04.87|19.87|4.35|0.732  1|1.5|speCDF_00063.fits|FITS file
CDFS_00064 |03 32 35.967 -27 48 11.85|18.47|3.45|0.605  1|3  |speCDF_00064.fits|FITS file
CDFS_00065 |03 32 24.405 -27 48 08.05|17.51|3.35|0.000  1|0  |speCDF_00065.fits|FITS file
CDFS_00067 |03 32 25.551 -27 48 03.43|19.34|2.07|0.000  1|0  |speCDF_00067.fits|FITS file
CDFS_00070 |03 32 17.432 -27 48 05.23|18.28|4.51|0.733  1|1  |speCDF_00070.fits|FITS file
CDFS_00071 |03 32 24.928 -27 48 14.58|16.38|2.60|0.128  1|1  |speCDF_00071.fits|FITS file
CDFS_00075 |03 32 11.475 -27 48 15.68|16.25|3.87|0.546  1|1  |speCDF_00075.fits|FITS file
CDFS_00076 |03 32 29.935 -27 47 57.05|18.63|4.59|0.671  1|1.5|speCDF_00076.fits|FITS file
CDFS_00077 |03 32 10.762 -27 47 57.43|18.12|2.91|0.000  1|0  |speCDF_00077.fits|FITS file
CDFS_00078 |03 32 26.668 -27 47 58.62|18.80|3.41|0.629  1|2  |speCDF_00078.fits|FITS file
CDFS_00079 |03 32 19.121 -27 47 59.66|19.27|2.19|0.228  1|2  |speCDF_00079.fits|FITS file
CDFS_00082 |03 32 13.138 -27 47 54.97|19.95|3.20|0.548  1|2  |speCDF_00082.fits|FITS file
CDFS_00083 |03 32 28.783 -27 47 55.42|19.15|4.77|1.383  1|2  |speCDF_00083.fits|FITS file
CDFS_00084 |03 32 12.518 -27 47 53.66|19.90|2.37|0.333  1|2  |speCDF_00084.fits|FITS file
CDFS_00085 |03 32 28.319 -27 48 07.28|16.22|3.81|0.000  1|0  |speCDF_00085.fits|FITS file
CDFS_00087 |03 32 26.002 -27 47 51.41|19.95|4.68|     I-1|-  |speCDF_00087.fits|FITS file
CDFS_00089 |03 32 13.633 -27 47 53.86|19.71|5.35|     I-1|-  |speCDF_00089.fits|FITS file
CDFS_00093 |03 32 08.232 -27 47 55.47|18.79|3.48|0.841  1|2  |speCDF_00093.fits|FITS file
CDFS_00097 |03 32 35.759 -27 47 58.81|17.13|4.39|0.664  1|1  |speCDF_00097.fits|FITS file
CDFS_00098 |03 32 08.191 -27 47 52.14|18.35|4.05|0.840  1|2  |speCDF_00098.fits|FITS file
CDFS_00103 |03 32 16.795 -27 47 50.78|18.20|3.89|0.654  1|2  |speCDF_00103.fits|FITS file
CDFS_00105 |03 32 33.834 -27 47 47.94|19.17|2.89|0.343  1|2  |speCDF_00105.fits|FITS file
CDFS_00112 |03 32 37.625 -27 47 44.00|19.20|3.80|1.097  1|2  |speCDF_00112.fits|FITS file
CDFS_00117 |03 32 18.778 -27 47 44.46|18.90|4.38|0.735  1|1  |speCDF_00117.fits|FITS file
CDFS_00119 |03 32 10.340 -27 47 54.24|18.34|3.75|0.549  1|2  |speCDF_00119.fits|FITS file
CDFS_00120 |03 32 23.915 -27 47 39.42|19.74|3.94|2.228  1|-  |speCDF_00120.fits|FITS file
CDFS_00123 |03 32 35.806 -27 47 34.71|19.95|5.03|1.223  0|-  |speCDF_00123.fits|FITS file
CDFS_00129 |03 32 14.836 -27 47 38.20|18.72|4.16|0.735  1|1  |speCDF_00129.fits|FITS file
CDFS_00130 |03 32 08.101 -27 47 32.74|18.76|4.39|0.831  1|2  |speCDF_00130.fits|FITS file
CDFS_00132 |03 32 15.895 -27 47 49.89|18.70|3.56|0.678  1|2  |speCDF_00132.fits|FITS file
CDFS_00133 |03 32 18.849 -27 47 34.29|18.52|4.47|0.731  1|1  |speCDF_00133.fits|FITS file
CDFS_00134 |03 32 33.035 -27 47 31.00|19.67|3.35|0.998  1|2  |speCDF_00134.fits|FITS file
CDFS_00138 |03 32 11.158 -27 47 28.02|19.61|3.43|0.542  1|1  |speCDF_00138.fits|FITS file
CDFS_00139 |03 32 30.014 -27 47 26.80|18.84|5.80|1.553  1|3  |speCDF_00139.fits|FITS file
CDFS_00141 |03 32 20.465 -27 47 32.22|18.02|4.52|0.604  1|1.5|speCDF_00141.fits|FITS file
CDFS_00144 |03 32 25.138 -27 47 24.27|19.67|2.00|0.195  1|2  |speCDF_00144.fits|FITS file
CDFS_00146 |03 32 26.304 -27 47 22.47|19.76|3.19|0.736  1|2  |speCDF_00146.fits|FITS file
CDFS_00149 |03 32 12.464 -27 47 29.11|18.52|4.84|1.018  1|1  |speCDF_00149.fits|FITS file
CDFS_00150 |03 32 15.877 -27 47 23.00|19.27|3.20|0.895  1|2  |speCDF_00150.fits|FITS file
CDFS_00151 |03 32 31.345 -27 47 24.93|18.42|3.14|0.666  1|2  |speCDF_00151.fits|FITS file
CDFS_00152 |03 32 24.351 -27 47 25.01|19.24|3.03|0.523  1|2  |speCDF_00152.fits|FITS file
CDFS_00154 |03 32 21.748 -27 47 24.65|19.68|4.09|1.000  1|2  |speCDF_00154.fits|FITS file
CDFS_00159 |03 32 19.859 -27 47 21.16|18.21|4.39|0.733  1|1  |speCDF_00159.fits|FITS file
CDFS_00162 |03 32 26.297 -27 47 17.55|19.50|3.11|0.995  1|2  |speCDF_00162.fits|FITS file
CDFS_00163 |03 32 16.525 -27 47 27.14|17.99|4.32|0.729  1|1  |speCDF_00163.fits|FITS file
CDFS_00164 |03 32 08.662 -27 47 34.38|15.70|2.63|0.544  1|4  |speCDF_00164.fits|FITS file
CDFS_00165 |03 32 09.622 -27 47 27.76|15.98|3.48|0.000  1|0  |speCDF_00165.fits|FITS file
CDFS_00167 |03 32 19.355 -27 47 16.17|19.92|4.96|1.119  0|-  |speCDF_00167.fits|FITS file
CDFS_00170 |03 32 14.240 -27 47 21.36|19.66|3.80|0.726  1|1  |speCDF_00170.fits|FITS file
CDFS_00176 |03 32 17.932 -27 47 21.41|16.61|4.61|0.732  1|1  |speCDF_00176.fits|FITS file
CDFS_00177 |03 32 10.917 -27 47 22.77|17.09|3.04|0.416  1|2  |speCDF_00177.fits|FITS file
CDFS_00179 |03 32 37.318 -27 47 29.34|16.53|4.66|0.667  1|1  |speCDF_00179.fits|FITS file
CDFS_00181 |03 32 20.640 -27 47 17.08|18.29|3.42|0.734  1|2  |speCDF_00181.fits|FITS file
CDFS_00182 |03 32 14.316 -27 47 13.12|17.94|4.08|0.578  1|1.5|speCDF_00182.fits|FITS file
CDFS_00183 |03 32 17.282 -27 47 08.36|19.94|4.90|2.250  0|-  |speCDF_00183.fits|FITS file
CDFS_00186 |03 32 11.510 -27 47 13.01|17.46|4.46|0.576  1|2  |speCDF_00186.fits|FITS file
CDFS_00188 |03 32 18.219 -27 47 08.95|19.49|5.29|     I-1|-  |speCDF_00188.fits|FITS file
CDFS_00189 |03 32 17.031 -27 47 09.23|19.09|3.51|0.763  1|2  |speCDF_00189.fits|FITS file
CDFS_00194 |03 32 23.917 -27 47 10.44|19.53|4.42|0.731  1|1.5|speCDF_00194.fits|FITS file
CDFS_00196 |03 32 07.715 -27 47 06.31|19.09|2.45|0.310  1|2  |speCDF_00196.fits|FITS file
CDFS_00201 |03 32 10.571 -27 47 06.17|19.24|3.68|1.045  1|2  |speCDF_00201.fits|FITS file
CDFS_00202 |03 32 15.807 -27 47 13.57|17.20|4.42|0.738  1|1  |speCDF_00202.fits|FITS file
CDFS_00203 |03 32 17.755 -27 47 14.86|17.35|4.65|0.729  1|1  |speCDF_00203.fits|FITS file
CDFS_00204 |03 32 14.457 -27 47 08.06|19.20|2.63|0.000  1|0  |speCDF_00204.fits|FITS file
CDFS_00210 |03 32 24.793 -27 46 17.93|18.73|6.00|1.300  0|-  |speCDF_00210.fits|FITS file
CDFS_00211 |03 32 18.202 -27 46 21.73|19.77|3.92|1.435  1|2  |speCDF_00211.fits|FITS file
CDFS_00213 |03 32 12.219 -27 46 20.66|18.38|4.78|1.033  1|1.5|speCDF_00213.fits|FITS file
CDFS_00214 |03 32 11.988 -27 46 20.94|19.15|4.92|1.032  1|1  |speCDF_00214.fits|FITS file
CDFS_00215 |03 32 28.731 -27 46 20.44|17.74|4.61|0.735  1|1.5|speCDF_00215.fits|FITS file
CDFS_00216 |03 32 25.418 -27 46 17.18|18.49|4.05|0.896  1|2  |speCDF_00216.fits|FITS file
CDFS_00217 |03 32 30.716 -27 46 17.21|19.25|4.17|1.307  1|-  |speCDF_00217.fits|ESO/GOODS
CDFS_00219 |03 32 28.071 -27 46 06.46|19.56|5.07|1.109  1|2  |speCDF_00219.fits|FITS file
CDFS_00221 |03 32 14.883 -27 46 21.41|19.75|2.78|0.000  1|0  |speCDF_00221.fits|FITS file
CDFS_00222 |03 32 28.978 -27 46 23.65|18.18|4.99|0.737  1|1  |speCDF_00222.fits|FITS file
CDFS_00224 |03 32 31.467 -27 46 23.18|18.73|4.27|2.223  0|-  |speCDF_00224.fits|FITS file
CDFS_00225 |03 32 30.847 -27 46 21.73|18.55|4.67|1.016  1|2  |speCDF_00225.fits|FITS file
CDFS_00226 |03 32 11.566 -27 46 22.87|19.35|2.99|1.221  1|2  |speCDF_00226.fits|FITS file
CDFS_00229 |03 32 35.486 -27 46 26.53|19.48|3.72|1.088  1|2  |speCDF_00229.fits|FITS file
CDFS_00230 |03 32 12.465 -27 46 21.42|19.92|6.08|1.315  0|-  |speCDF_00230.fits|FITS file
CDFS_00231 |03 32 18.749 -27 46 27.16|19.07|4.76|1.729  1|-  |speCDF_00231.fits|FITS file
CDFS_00232 |03 32 35.780 -27 46 27.48|18.87|5.37|1.094  1|1.5|speCDF_00232.fits|FITS file
CDFS_00234 |03 32 33.532 -27 46 23.18|18.65|2.92|0.276  1|2  |speCDF_00234.fits|FITS file
CDFS_00235 |03 32 10.776 -27 46 27.71|17.98|6.47|1.610  1|1.5|speCDF_00235.fits|FITS file
CDFS_00236 |03 32 24.376 -27 46 24.27|18.62|4.76|0.895  1|1  |speCDF_00236.fits|FITS file
CDFS_00237 |03 32 10.508 -27 46 28.85|19.05|6.83|1.615  0|-  |speCDF_00237.fits|FITS file
CDFS_00238 |03 32 21.006 -27 46 28.03|19.95|3.70|1.127  1|2  |speCDF_00238.fits|FITS file
CDFS_00239 |03 32 29.090 -27 46 28.96|19.45|3.66|2.227  1|-  |speCDF_00239.fits|FITS file
CDFS_00240 |03 32 14.437 -27 46 24.54|18.56|4.13|0.736  1|1  |speCDF_00240.fits|FITS file
CDFS_00241 |03 32 17.833 -27 46 27.99|16.42|1.62|0.000  1|0  |speCDF_00241.fits|FITS file
CDFS_00243 |03 32 32.034 -27 46 32.95|14.70|3.77|0.000  1|0  |speCDF_00243.fits|FITS file
CDFS_00245 |03 32 36.667 -27 46 31.07|19.13|4.45|0.999  1|2  |speCDF_00245.fits|FITS file
CDFS_00246 |03 32 36.454 -27 46 31.57|19.15|3.89|1.047  1|2  |speCDF_00246.fits|FITS file
CDFS_00247 |03 32 19.233 -27 46 32.20|17.58|4.53|0.737  1|1  |speCDF_00247.fits|FITS file
CDFS_00249 |03 32 15.466 -27 46 31.39|19.07|4.19|0.735  1|2  |speCDF_00249.fits|FITS file
CDFS_00250 |03 32 15.799 -27 46 30.54|19.17|2.99|1.023  1|2  |speCDF_00250.fits|FITS file
CDFS_00251 |03 32 24.830 -27 46 28.94|19.65|1.36|0.000  1|0  |speCDF_00251.fits|FITS file
CDFS_00252 |03 32 36.495 -27 46 29.21|18.65|3.04|0.765  1|2  |speCDF_00252.fits|FITS file
CDFS_00254 |03 32 08.885 -27 46 29.05|19.82|4.47|1.032  1|2  |speCDF_00254.fits|FITS file
CDFS_00256 |03 32 26.273 -27 46 33.51|19.10|4.36|0.738  1|1.5|speCDF_00256.fits|FITS file
CDFS_00257 |03 32 16.126 -27 46 27.73|19.45|4.04|1.033  1|2  |speCDF_00257.fits|FITS file
CDFS_00258 |03 32 14.019 -27 46 34.32|19.31|4.39|0.837  1|2  |speCDF_00258.fits|FITS file
CDFS_00262 |03 32 23.613 -27 46 37.86|19.80|2.34|0.424  1|2  |speCDF_00262.fits|FITS file
CDFS_00263 |03 32 08.131 -27 46 28.25|18.10|4.50|0.577  1|1.5|speCDF_00263.fits|FITS file
CDFS_00264 |03 32 27.988 -27 46 39.33|16.06|4.10|0.247  1|1.5|speCDF_00264.fits|FITS file
CDFS_00265 |03 32 35.626 -27 46 32.83|19.83|3.12|0.525  1|2  |speCDF_00265.fits|FITS file
CDFS_00270 |03 32 12.526 -27 46 29.16|18.74|5.99|1.605  0|-  |speCDF_00270.fits|FITS file
CDFS_00271 |03 32 34.857 -27 46 40.44|19.37|4.47|1.097  1|2  |speCDF_00271.fits|FITS file
CDFS_00272 |03 32 10.472 -27 46 40.80|18.09|2.48|0.000  1|0  |speCDF_00272.fits|FITS file
CDFS_00275 |03 32 11.938 -27 46 44.63|19.15|5.01|1.221  1|2  |speCDF_00275.fits|FITS file
CDFS_00278 |03 32 20.901 -27 46 46.83|18.98|3.59|0.000  1|0  |speCDF_00278.fits|FITS file
CDFS_00281 |03 32 08.535 -27 46 48.35|15.30|4.20|0.311  1|4  |speCDF_00281.fits|FITS file
CDFS_00282 |03 32 07.896 -27 46 40.07|19.88|3.99|     I-1|-  |speCDF_00282.fits|FITS file
CDFS_00283 |03 32 17.249 -27 46 40.47|19.87|3.72|1.128  1|2  |speCDF_00283.fits|FITS file
CDFS_00284 |03 32 13.012 -27 46 37.90|19.04|5.78|1.149  1|2  |speCDF_00284.fits|FITS file
CDFS_00285 |03 32 17.185 -27 46 49.21|18.77|4.39|0.736  1|1  |speCDF_00285.fits|FITS file
CDFS_00286 |03 32 09.739 -27 46 49.22|19.65|3.84|0.968  1|2  |speCDF_00286.fits|FITS file
CDFS_00289 |03 32 18.576 -27 46 48.83|19.25|4.22|0.741  1|2  |speCDF_00289.fits|FITS file
CDFS_00290 |03 32 26.593 -27 46 48.89|17.16|3.57|0.338  1|1.5|speCDF_00290.fits|FITS file
CDFS_00291 |03 32 11.407 -27 46 49.93|18.22|3.81|0.574  1|2  |speCDF_00291.fits|FITS file
CDFS_00295 |03 32 37.363 -27 46 45.51|19.88|3.65|1.843  0|-  |speCDF_00295.fits|FITS file
CDFS_00297 |03 32 21.976 -27 46 55.92|17.06|4.46|0.671  1|1  |speCDF_00297.fits|FITS file
CDFS_00300 |03 32 31.739 -27 46 58.34|16.78|2.11|0.000  1|0  |speCDF_00300.fits|FITS file
CDFS_00301 |03 32 28.961 -27 46 56.04|19.76|2.27|0.000  1|0  |speCDF_00301.fits|FITS file
CDFS_00303 |03 32 26.672 -27 46 59.05|18.95|4.36|0.736  1|1  |speCDF_00303.fits|FITS file
CDFS_00304 |03 32 23.620 -27 46 56.64|16.20|1.80|0.000  1|0  |speCDF_00304.fits|FITS file
CDFS_00307 |03 32 11.584 -27 46 59.14|18.96|3.71|0.814  1|2  |speCDF_00307.fits|FITS file
CDFS_00310 |03 32 19.340 -27 47 01.10|19.14|4.75|1.166  1|2  |speCDF_00310.fits|FITS file
CDFS_00311 |03 32 09.008 -27 46 56.83|19.55|3.61|0.546  1|2  |speCDF_00311.fits|FITS file
CDFS_00312 |03 32 28.434 -27 47 03.76|17.63|4.37|0.667  1|1  |speCDF_00312.fits|FITS file
CDFS_00314 |03 32 17.027 -27 47 02.74|19.98|4.26|0.737  1|1  |speCDF_00314.fits|FITS file
CDFS_00315 |03 32 18.002 -27 47 18.48|15.78|4.96|0.734  1|1  |speCDF_00315.fits|FITS file
CDFS_00317 |03 32 20.903 -27 47 05.46|17.40|3.83|0.668  1|2  |speCDF_00317.fits|FITS file
CDFS_00318 |03 32 10.575 -27 47 01.75|18.14|4.17|0.577  1|1  |speCDF_00318.fits|FITS file
CDFS_00325 |03 32 24.864 -27 47 06.42|17.61|3.00|0.363  1|2  |speCDF_00325.fits|FITS file
CDFS_00326 |03 32 29.209 -27 47 07.64|17.34|4.52|0.669  1|1  |speCDF_00326.fits|FITS file
CDFS_00327 |03 32 34.113 -27 47 12.12|18.18|2.68|0.229  1|2  |speCDF_00327.fits|FITS file
CDFS_00328 |03 32 29.993 -27 44 04.87|14.35|2.66|0.076  1|2  |speCDF_00328.fits|FITS file
CDFS_00331 |03 32 24.644 -27 44 07.79|19.68|3.17|1.901  1|-  |speCDF_00331.fits|FITS file
CDFS_00333 |03 32 29.884 -27 44 24.42|13.99|2.61|0.076  1|2  |speCDF_00333.fits|FITS file
CDFS_00334 |03 32 13.939 -27 44 05.92|15.58|2.89|0.000  1|0  |speCDF_00334.fits|FITS file
CDFS_00336 |03 32 25.754 -27 44 30.96|18.53|5.34|0.891  1|2  |speCDF_00336.fits|FITS file
CDFS_00341 |03 32 34.646 -27 44 08.13|18.83|5.57|-      -|-  |                 |NOT OBSERVED
CDFS_00342 |03 32 22.325 -27 44 08.69|17.21|2.94|0.000  1|0  |speCDF_00342.fits|FITS file
CDFS_00343 |03 32 21.514 -27 43 58.84|18.83|3.13|0.000  1|0  |speCDF_00343.fits|FITS file
CDFS_00344 |03 32 37.412 -27 44 07.01|18.86|4.57|1.017  1|2  |speCDF_00344.fits|FITS file
CDFS_00346 |03 32 23.711 -27 44 11.84|19.31|4.07|2.060  1|-  |speCDF_00346.fits|FITS file
CDFS_00347 |03 32 27.017 -27 44 07.13|18.32|4.67|1.127  1|-  |speCDF_00347.fits|ESO/GOODS
CDFS_00348 |03 32 17.106 -27 44 07.62|19.33|4.31|0.737  1|1  |speCDF_00348.fits|FITS file
CDFS_00349 |03 32 08.153 -27 44 17.74|14.53|0.86|0.000  1|0  |speCDF_00349.fits|FITS file
CDFS_00352 |03 32 21.607 -27 44 11.46|19.26|2.05|0.363  1|2  |speCDF_00352.fits|FITS file
CDFS_00353 |03 32 25.911 -27 44 01.52|19.72|2.08|0.278  1|2  |speCDF_00353.fits|FITS file
CDFS_00354 |03 32 33.822 -27 44 10.16|17.94|4.07|0.667  1|1  |speCDF_00354.fits|FITS file
CDFS_00355 |03 32 27.179 -27 44 16.50|16.33|3.51|0.418  1|1  |speCDF_00355.fits|FITS file
CDFS_00357 |03 32 22.662 -27 44 03.01|18.98|2.05|0.311  1|2  |speCDF_00357.fits|FITS file
CDFS_00358 |03 32 31.338 -27 44 19.12|19.47|3.80|0.605  1|2  |speCDF_00358.fits|FITS file
CDFS_00359 |03 32 33.173 -27 44 15.23|19.45|4.36|0.665  0|-  |speCDF_00359.fits|FITS file
CDFS_00360 |03 32 17.476 -27 44 15.35|19.68|2.59|0.400  1|2  |speCDF_00360.fits|FITS file
CDFS_00362 |03 32 10.912 -27 44 15.06|19.12|3.11|1.613  1|4  |speCDF_00362.fits|FITS file
CDFS_00365 |03 32 35.106 -27 44 10.70|19.31|4.26|0.839  1|2  |speCDF_00365.fits|FITS file
CDFS_00369 |03 32 35.453 -27 44 21.23|19.16|4.14|0.894  1|1  |speCDF_00369.fits|FITS file
CDFS_00373 |03 32 18.730 -27 44 15.89|17.79|3.48|0.524  1|1  |speCDF_00373.fits|FITS file
CDFS_00374 |03 32 28.340 -27 44 26.31|17.62|1.98|0.077  1|2  |speCDF_00374.fits|FITS file
CDFS_00375 |03 32 27.601 -27 44 31.12|17.18|2.67|0.215  1|2  |speCDF_00375.fits|FITS file
CDFS_00376 |03 32 15.978 -27 44 23.02|18.64|3.64|0.735  1|3  |speCDF_00376.fits|FITS file
CDFS_00377 |03 32 22.585 -27 44 25.95|17.10|4.04|0.738  1|2  |speCDF_00377.fits|FITS file
CDFS_00378 |03 32 18.999 -27 44 11.84|18.88|4.20|0.954  0|-  |speCDF_00378.fits|FITS file
CDFS_00380 |03 32 10.444 -27 45 07.30|14.40|1.07|-      -|0  |                 |NOT OBSERVED
CDFS_00382 |03 32 24.595 -27 44 28.22|19.37|2.60|0.539  1|2  |speCDF_00382.fits|FITS file
CDFS_00384 |03 32 35.345 -27 44 19.29|19.87|3.40|1.224  1|2  |speCDF_00384.fits|FITS file
CDFS_00386 |03 32 16.186 -27 44 23.17|19.12|3.11|0.401  1|1  |speCDF_00386.fits|FITS file
CDFS_00387 |03 32 11.859 -27 44 13.51|19.07|3.84|1.325  1|2  |speCDF_00387.fits|FITS file
CDFS_00388 |03 32 27.295 -27 44 28.77|17.62|2.43|0.215  1|2  |speCDF_00388.fits|FITS file
CDFS_00389 |03 32 36.717 -27 44 06.49|18.52|3.93|0.665  1|2  |speCDF_00389.fits|FITS file
CDFS_00391 |03 32 20.964 -27 44 34.85|18.86|2.88|0.522  1|2  |speCDF_00391.fits|FITS file
CDFS_00392 |03 32 20.113 -27 44 22.51|18.84|4.51|1.217  1|2  |speCDF_00392.fits|FITS file
CDFS_00393 |03 32 08.055 -27 44 24.93|18.02|2.67|0.000  1|0  |speCDF_00393.fits|FITS file
CDFS_00394 |03 32 23.154 -27 44 23.04|19.07|3.58|0.738  1|2  |speCDF_00394.fits|FITS file
CDFS_00395 |03 32 08.136 -27 44 31.49|17.52|1.89|0.000  1|0  |speCDF_00395.fits|FITS file
CDFS_00397 |03 32 14.774 -27 44 33.18|19.03|4.71|0.736  1|2  |speCDF_00397.fits|FITS file
CDFS_00400 |03 32 29.046 -27 44 32.27|19.87|5.35|1.202  0|-  |speCDF_00400.fits|FITS file
CDFS_00401 |03 32 25.089 -27 44 03.27|15.45|2.58|0.076  1|1  |speCDF_00401.fits|FITS file
CDFS_00402 |03 32 21.291 -27 44 35.86|16.18|3.96|0.524  1|1.5|speCDF_00402.fits|FITS file
CDFS_00403 |03 32 10.510 -27 44 37.02|19.80|3.12|0.949  1|2  |speCDF_00403.fits|FITS file
CDFS_00405 |03 32 31.464 -27 44 35.11|15.79|2.71|0.000  1|0  |speCDF_00405.fits|FITS file
CDFS_00407 |03 32 17.958 -27 44 31.43|19.50|3.71|1.227  1|2  |speCDF_00407.fits|FITS file
CDFS_00408 |03 32 17.483 -27 44 36.71|18.30|4.07|0.734  1|1  |speCDF_00408.fits|FITS file
CDFS_00409 |03 32 26.430 -27 44 43.68|19.71|6.53|-      -|-  |                 |NOT OBSERVED
CDFS_00413 |03 32 36.031 -27 44 23.83|19.16|3.31|1.038  1|2  |speCDF_00413.fits|FITS file
CDFS_00415 |03 32 34.884 -27 44 40.63|19.76|3.61|0.677  1|1.5|speCDF_00415.fits|FITS file
CDFS_00416 |03 32 35.129 -27 44 39.61|19.58|3.64|1.038  1|2  |speCDF_00416.fits|FITS file
CDFS_00418 |03 32 19.256 -27 44 38.90|19.65|2.17|0.217  1|2  |speCDF_00418.fits|FITS file
CDFS_00419 |03 32 35.576 -27 44 38.24|18.20|3.52|0.525  1|2  |speCDF_00419.fits|FITS file
CDFS_00424 |03 32 21.756 -27 44 42.12|18.59|2.49|0.296  1|2  |speCDF_00424.fits|FITS file
CDFS_00425 |03 32 20.670 -27 44 46.44|18.09|4.61|0.726  1|1.5|speCDF_00425.fits|FITS file
CDFS_00429 |03 32 09.778 -27 44 42.48|15.94|2.42|0.086  1|2  |speCDF_00429.fits|FITS file
CDFS_00432 |03 32 19.188 -27 44 46.30|18.41|1.98|0.218  1|2  |speCDF_00432.fits|FITS file
CDFS_00433 |03 32 18.701 -27 44 12.77|18.78|4.52|0.958  1|3  |speCDF_00433.fits|FITS file
CDFS_00434 |03 32 19.968 -27 44 49.86|19.80|3.23|0.783  1|2  |speCDF_00434.fits|FITS file
CDFS_00435 |03 32 16.688 -27 44 39.98|19.85|4.05|0.967  1|2  |speCDF_00435.fits|FITS file
CDFS_00438 |03 32 16.486 -27 44 49.06|19.00|3.93|0.976  1|2  |speCDF_00438.fits|FITS file
CDFS_00439 |03 32 13.394 -27 44 48.03|17.38|3.23|0.000  1|0  |speCDF_00439.fits|FITS file
CDFS_00441 |03 32 19.209 -27 44 50.61|19.22|4.57|1.021  1|2  |speCDF_00441.fits|FITS file
CDFS_00443 |03 32 21.243 -27 44 30.53|19.56|3.48|0.525  1|1.5|speCDF_00443.fits|FITS file
CDFS_00445 |03 32 33.027 -27 44 36.73|17.28|3.75|0.605  1|1  |speCDF_00445.fits|FITS file
CDFS_00449 |03 32 14.349 -27 44 55.84|19.98|3.82|0.738  1|3  |speCDF_00449.fits|FITS file
CDFS_00451 |03 32 20.724 -27 44 53.76|17.77|4.42|0.969  1|2  |speCDF_00451.fits|FITS file
