# Name         RAh RAm RAs   DE- DEd DEm DEs  
  "Q2343-BX390 " 23  46  24.72 +   12  47  33.8 
  "Q2343-BX391 " 23  46  28.07 +   12  47  31.82
  "Q2343-BX418 " 23  46  18.57 +   12  47  47.38
  "Q2343-BX429 " 23  46  25.25 +   12  47  51.2 
  "Q2343-BX435 " 23  46  26.36 +   12  47  55.06
  "Q2343-BX436 " 23  46  9.06  +   12  47  56.0 
  "Q2343-BX442 " 23  46  19.36 +   12  47  59.69
  "Q2343-BX461 " 23  46  32.96 +   12  48  8.15 
  "Q2343-BX474 " 23  46  32.88 +   12  48  14.08
  "Q2343-BX480 " 23  46  21.9  +   12  48  15.61
  "Q2343-BX493 " 23  46  14.46 +   12  48  21.64
  "Q2343-BX513 " 23  46  11.13 +   12  48  32.14
  "Q2343-BX529 " 23  46  9.72  +   12  48  40.33
  "Q2343-BX537 " 23  46  25.55 +   12  48  44.54
  "Q2343-BX587 " 23  46  29.18 +   12  49  3.34 
  "Q2343-BX599 " 23  46  13.85 +   12  49  11.31
  "Q2343-BX601 " 23  46  20.4  +   12  49  12.91
  "Q2343-BX610 " 23  46  9.43  +   12  49  19.21
  "Q2343-BX660 " 23  46  29.43 +   12  49  45.54
  "Q2343-MD59  " 23  46  26.9  +   12  47  39.87
  "Q2343-MD62  " 23  46  27.23 +   12  47  43.48
  "Q2343-MD80  " 23  46  10.79 +   12  48  33.24
  "Q2346-BX120 " 23  48  26.3  +   0   20  33.16
  "Q2346-BX220 " 23  48  46.1  +   0   22  20.95
  "Q2346-BX244 " 23  48  9.61  +   0   22  36.18
  "Q2346-BX404 " 23  48  21.4  +   0   24  43.07
  "Q2346-BX405 " 23  48  21.22 +   0   24  45.46
  "Q2346-BX416 " 23  48  18.21 +   0   24  55.3 
  "Q2346-BX482 " 23  48  12.97 +   0   25  46.34
  "SSA22a-MD41 " 22  17  39.97 +   0   17  11.04
  "West-BM115  " 14  17  37.57 +   52  27  5.42 
  "West-BX600  " 14  17  15.55 +   52  36  15.64
