# ID              n_Name   z       EBV FHa  LHa SFR0 SFR1 F1500 L1500 USFR0 USFR1 SFR WHa  n_WHa
Q1623-BX432       ""     2.1817  0.06   5.4  1.9 17   20   24.68 28.74 4     8     6   427  ""   
Q1623-BX447       ""     2.1481  0.05   5.6  1.9 17   20   24.65 28.74 4     7     5   154  ""   
Q1623-BX449       ""     2.4185  0.11   3.5  1.6 14   20   25.06 28.67 4     11    9   196  ""   
Q1623-BX452       ""     2.0595  0.195  4.4  1.4 12   22   24.93 28.6  3     19    14  121  ""   
Q1623-BX453       ""     2.1816  0.275  13.8 4.9 43   100  23.86 29.07 9     123   107 187  ""   
Q1623-BX455       ""     2.4074  0.265  18.8 8.6 75   169  25.15 28.63 3     45    58  1172 m    
Q1623-BX458       ""     2.4194  0.165  4.3  2.0 17   29   23.69 29.21 13    65    55  102  ""   
Q1623-BX472       ""     2.1142  0.13   3.9  1.3 11   17   24.74 28.69 4     13    11  135  ""   
Q1623-BX502       ""     2.1558  0.22   13.2 4.6 40   79   24.57 28.77 5     37    72  1536 m    
Q1623-BX511       ""     2.2421  0.235  3.4  1.3 11   23   25.79 28.32 2     15    13  325  ""   
Q1623-BX513       ""     2.2473  0.145  3.3  1.3 11   17   23.51 29.23 13    53    46  59   ""   
Q1623-BX516       ""     2.4236  0.145  5.2  2.4 21   33   24.24 28.99 8     32    28  112  ""   
Q1623-BX522       ""     2.4757  0.18   2.8  1.4 12   21   24.81 28.78 5     28    24  79   ""   
Q1623-BX528       ""     2.2682  0.175  7.7  3.0 27   46   23.81 29.12 10    55    44  94   ""   
Q1623-BX543       ""     2.5211  0.305  8.6  4.4 39   98   23.55 29.3  16    336   528 229  ""   
Q1623-BX586       ""     2.1045  0.195  5.1  1.7 15   27   24.9  28.62 3     20    17  192  ""   
Q1623-BX599       ""     2.3304  0.125  18.1 7.6 67   98   23.66 29.2  12    42    35  303  ""   
Q1623-BX663       l      2.4333  0.135  8.2  3.8 33   50   24.38 28.94 7     26    21  112  ""   
Q1623-MD107       ""     2.5373  0.06   3.7  1.9 17   20   25.47 28.54 3     5     4   858  ""   
Q1623-MD66        ""     2.1075  0.235  19.7 6.5 57   116  24.32 28.86 6     50    43  482  ""   
Q1700-BX490       ""     2.39597 0.285  17.7 8.0 70   166  23.24 29.39 19    313   448 310  ""   
Q1700-BX505       ""     2.3089  0.27   3.6  1.5 13   29   25.62 28.41 2     27    20  121  ""   
Q1700-BX523       ""     2.4756  0.26   4.7  2.3 20   44   24.97 28.72 4     55    42  171  ""   
Q1700-BX530       ""     1.94294 0.045  12.2 3.3 29   33   23.26 29.22 13    19    6   208  ""   
Q1700-BX536       ""     1.978   0.115  11.3 3.2 28   40   23.21 29.25 14    40    15  150  ""   
Q1700-BX561       ""     2.4332  0.13   1.9  0.9 8    11   24.84 28.76 4     16    10  22   ""   
Q1700-BX581       ""     2.4022  0.215  4.0  1.8 16   30   24.15 29.02 8     69    70  124  ""   
Q1700-BX681       ""     1.73959 0.315  6.3  1.3 11   30   22.23 29.54 27    427   628 52   ""   
Q1700-BX691       ""     2.1895  0.125  7.7  2.8 24   36   25.55 28.39 2     6     5   257  ""   
Q1700-BX717       ""     2.4353  0.09   3.8  1.8 16   20   24.98 28.7  4     10    8   410  ""   
Q1700-BX759       ""     2.4213  0.23   1.3  0.6 5    11   24.79 28.77 5     45    37  57   ""   
Q1700-BX794       ""     2.2473  0.13   6.8  2.6 23   34   23.95 29.05 9     31    25  183  ""   
Q1700-BX917       ""     2.3069  0.04   7.4  3.0 27   30   24.71 28.77 5     7     4   117  ""   
Q1700-MD69        ""     2.2883  0.275  7.5  3.0 26   61   25.22 28.56 3     40    31  122  ""   
Q1700-MD94        l      2.33624 0.5    12.9 5.4 48   219  25.66 28.4  2     253   213 146  ""   
Q1700-MD103       ""     2.3148  0.305  8.2  3.4 30   76   24.69 28.78 5     90    65  120  ""   
Q1700-MD109       ""     2.2942  0.175  2.8  1.1 10   17   25.72 28.36 2     10    8   246  ""   
Q1700-MD154       l      2.62911 0.335  4.1  2.3 20   56   23.96 29.17 12    359   347 40   ""   
Q1700-MD174       ""     2.3423  0.195  8.9  3.8 33   60   24.88 28.71 4     27    24  125  ""   
Q2343-BM133       ""     1.47744 0.115  28.7 3.9 35   49   22.78 29.19 12    36    35  2245 ""   
Q2343-BM181       ""     1.4951  0.134  3.4  0.5 4    6    25.18 28.24 1     5     0   0    ""   
Q2343-BX163       ""     2.12132 0.05   2.2  0.7 6    7    24.06 28.97 7     12    9   127  ""   
Q2343-BX169       ""     2.20939 0.125  4.7  1.7 15   22   23.3  29.3  16    51    46  152  ""   
Q2343-BX182       ""     2.2879  0.1    2.4  1.0 8    11   23.88 29.1  10    26    23  168  ""   
Q2343-BX236       ""     2.43475 0.085  3.1  1.4 13   16   24.42 28.93 7     15    13  150  ""   
Q2343-BX336       ""     2.54387 0.21   4.3  2.2 20   38   24.31 29.0  8     66    58  133  ""   
Q2343-BX341       ""     2.5749  0.21   4.0  2.1 19   36   24.59 28.9  6     52    50  231  ""   
Q2343-BX378       ""     2.04407 0.165  4.5  1.4 12   20   25.06 28.54 3     12    11  606  ""   
Q2343-BX389       ""     2.17156 0.25   12.0 4.2 37   80   25.13 28.56 3     30    22  253  ""   
Q2343-BX390       ""     2.2313  0.15   4.9  1.9 16   26   24.6  28.79 5     20    17  293  ""   
Q2343-BX391       ""     2.17403 0.195  4.2  1.5 13   24   24.51 28.8  5     31    25  537  ""   
Q2343-BX418       ""     2.3052  0.035  8.0  3.3 29   32   23.94 29.08 9     13    12  1639 ""   
Q2343-BX429       ""     2.1751  0.185  4.8  1.7 15   27   25.42 28.44 2     12    12  632  ""   
Q2343-BX435       ""     2.1119  0.225  8.1  2.7 24   47   24.61 28.74 4     35    30  200  ""   
Q2343-BX436       ""     2.3277  0.07   7.2  3.0 26   33   23.19 29.38 19    37    33  345  ""   
Q2343-BX442       ""     2.176   0.225  7.2  2.5 22   44   24.48 28.82 5     43    25  98   ""   
Q2343-BX461       ""     2.5662  0.25   7.0  3.7 33   70   24.84 28.8  5     62    86  760  ""   
Q2343-BX474       ""     2.2257  0.215  5.0  1.9 16   32   24.73 28.73 4     33    26  133  ""   
Q2343-BX480       ""     2.2313  0.165  3.0  1.1 10   16   24.06 29.0  8     38    33  67   ""   
Q2343-BX493       ""     2.33964 0.255  5.3  2.2 20   43   23.91 29.1  10    118   220 497  ""   
Q2343-BX513       ""     2.10919 0.135  10.1 3.3 29   44   24.13 28.93 7     24    20  192  ""   
Q2343-BX529       ""     2.1129  0.145  3.5  1.2 10   16   24.62 28.74 4     17    14  230  ""   
Q2343-BX537       ""     2.3396  0.13   5.2  2.2 19   29   24.67 28.8  5     17    15  365  ""   
Q2343-BX587       ""     2.243   0.18   5.5  2.1 19   32   23.79 29.12 10    57    49  95   ""   
Q2343-BX599       ""     2.01156 0.1    4.5  1.3 12   16   23.6  29.11 10    25    21  107  ""   
Q2343-BX601       ""     2.3769  0.125  7.4  3.3 29   42   23.7  29.2  12    42    36  199  ""   
Q2343-BX610       ""     2.2094  0.155  8.1  3.0 26   42   23.92 29.05 9     38    32  59   ""   
Q2343-BX660       ""     2.1735  0.01   9.4  3.3 29   30   24.27 28.9  6     7     5   488  ""   
Q2343-MD59        ""     2.01159 0.2    2.9  0.8 7    14   24.99 28.55 3     18    11  52   ""   
Q2343-MD62        ""     2.17524 0.15   2.3  0.8 7    11   25.5  28.41 2     8     7   143  ""   
Q2343-MD80        ""     2.0138  0.02   3.2  0.9 8    9    24.81 28.63 3     4     1   206  ""   
Q2346-BX120       ""     2.2664  0.005  5.3  2.1 18   19   25.1  28.6  3     3     0   0    ""   
Q2346-BX220       ""     1.9677  0.055  10.3 2.9 25   30   23.86 28.99 8     13    4   482  ""   
Q2346-BX244       ""     1.6465  0.3    5.4  1.0 9    21   23.49 29.0  8     149   0   0    ""   
Q2346-BX404       ""     2.0282  0.095  13.9 4.2 36   49   23.57 29.13 10    25    22  273  ""   
Q2346-BX405       ""     2.03    0.01   14.0 4.2 37   38   23.44 29.18 12    13    7   358  ""   
Q2346-BX416       ""     2.2404  0.195  12.1 4.6 41   73   23.89 29.08 9     60    55  287  ""   
Q2346-BX482       ""     2.2569  0.112  11.2 4.4 38   54   23.54 29.22 13    38    0   0    ""   
SSA22a-MD41       ""     2.1713  0.096  7.9  2.8 25   33   23.5  29.21 13    31    0   0    ""   
Westphal-BM115    ""     1.6065  0.225  5.9  1.0 9    17   24.05 28.75 4     40    0   0    ""   
Westphal-BX600    ""     2.1607  0.047  6.3  2.2 19   22   24.04 28.99 8     12    0   0    ""   
