# ID            RA_HMS        DEC_DMS        z       R       G_minus_R   U_minus_G  Ks   J_minus_Ks    Exposure_time
Q1623-BX447     16:25:50.37   +26:47:14.28   2.1481  24.48   0.17        1.14       20.55    1.66      "3 \times 900"
Q1623-BX449     16:25:50.53   +26:46:59.97   2.4188  24.86   0.20        0.61       21.35    1.88      "3 \times 900"
Q1623-BX452     16:25:51.00   +26:44:20.00   2.0595  24.73   0.20        0.90       20.56    2.05      "3 \times 900"
Q1623-BX453     16:25:50.84   +26:49:31.40   2.1816  23.38   0.48        0.99       19.76    1.65      "3 \times 900"
Q1623-BX455     16:25:51.66   +26:46:54.88   2.4074  24.80   0.35        0.87       21.56    1.83      "2 \times 900"
Q1623-BX458     16:25:51.58   +26:46:21.39   2.4194  23.41   0.28        0.85       20.52    1.23      "4 \times 900"
Q1623-BX472     16:25:52.87   +26:46:39.63   2.1142  24.58   0.16        0.91       20.80    1.91      "4 \times 900"
Q1623-BX502     16:25:54.38   +26:44:09.25   2.1558  24.35   0.22        0.50       22.04    0.99      "3 \times 900"
Q1623-BX511     16:25:56.11   +26:44:44.57   2.2421  25.37   0.42        1.05       21.78    nan       "4 \times 900"
Q1623-BX513     16:25:55.86   +26:46:50.30   2.2473  23.25   0.26        0.68       20.21    1.83      "2 \times 900"
Q1623-BX516     16:25:56.27   +26:44:08.19   2.4236  23.94   0.30        0.82       20.41    2.29      "3 \times 900"
Q1623-BX522     16:25:55.76   +26:44:53.28   2.4757  24.50   0.31        1.19       20.75    2.03      "4 \times 900"
Q1623-BX528     16:25:56.44   +26:50:15.44   2.2682  23.56   0.25        0.71       19.75    1.79      "4 \times 900"
Q1623-BX543     16:25:57.70   +26:50:08.59   2.5211  23.11   0.44        0.96       20.54    1.31      "4 \times 900"
Q1623-BX586     16:26:01.52   +26:45:41.58   2.1045  24.58   0.32        0.87       20.84    1.79      "4 \times 900"
Q1623-BX599     16:26:02.54   +26:45:31.90   2.3304  23.44   0.22        0.80       19.93    2.09      "4 \times 900"
Q1623-BX663     16:26:04.58   +26:48:00.20   2.4333  24.14   0.24        1.02       19.92    2.59      "3 \times 900"
Q1623-MD107     16:25:53.87   +26:45:15.46   2.5373  25.35   0.12        1.43       22.43    1.72      "4 \times 900"
Q1623-MD66      16:25:40.39   +26:50:08.88   2.1075  23.95   0.37        1.40       20.15    1.74      "3 \times 900"
Q1700-BX490     17:01:14.83   +64:09:51.69   2.3960  22.88   0.36        0.92       19.99    1.54      "3 \times 900"
Q1700-BX505     17:00:48.22   +64:10:05.86   2.3089  25.17   0.45        1.28       20.85    2.17      "4 \times 900"
Q1700-BX523     17:00:41.71   +64:10:14.88   2.4756  24.51   0.46        1.28       20.93    1.86      "4 \times 900"
Q1700-BX530     17:00:36.86   +64:10:17.38   1.9429  23.05   0.21        0.69       19.92    1.23      "4 \times 900"
Q1700-BX536     17:01:08.94   +64:10:24.95   1.9780  23.00   0.21        0.79       19.71    1.31      "4 \times 900"
Q1700-BX561     17:01:04.18   +64:10:43.83   2.4332  24.65   0.19        1.04       19.87    2.43      "2 \times 900"
Q1700-BX581     17:01:02.73   +64:10:51.30   2.4022  23.87   0.28        0.62       20.79    1.94      "2 \times 900"
Q1700-BX681     17:01:33.76   +64:12:04.28   1.7396  22.04   0.19        0.40       19.18    1.27      "4 \times 900"
Q1700-BX691     17:01:06.00   +64:12:10.27   2.1895  25.33   0.22        0.66       20.68    1.82      "4 \times 900"
Q1700-BX717     17:00:56.99   +64:12:23.76   2.4353  24.78   0.20        0.61       21.89    1.49      "4 \times 900"
Q1700-BX759     17:00:59.55   +64:12:55.45   2.4213  24.43   0.36        1.29       21.23    1.35      "2 \times 900"
Q1700-BX794     17:00:47.30   +64:13:18.70   2.2473  23.60   0.35        0.58       20.53    1.37      "3 \times 900"
Q1700-BX917     17:01:16.11   +64:14:19.80   2.3069  24.43   0.28        0.95       20.03    1.95      "3 \times 900"
Q1700-MD103     17:01:00.21   +64:11:55.58   2.3148  24.23   0.46        1.49       19.94    1.96      "900 + 600"
Q1700-MD109     17:01:04.48   +64:12:09.29   2.2942  25.46   0.26        1.44       21.77    1.75      "4 \times 900"
Q1700-MD154     17:01:38.39   +64:14:57.37   2.6291  23.23   0.73        1.91       19.68    2.08      "3 \times 900"
Q1700-MD174     17:00:54.54   +64:16:24.76   2.3423  24.56   0.32        1.50       19.90    nan       "4 \times 900"
Q1700-MD69      17:00:47.62   +64:09:44.78   2.2883  24.85   0.37        1.50       20.05    2.60      "4 \times 900"
Q1700-MD94      17:00:42.02   +64:11:24.22   2.3362  24.72   0.94        2.06       19.65    2.46      "3 \times 900"
Q2343-BM133     23:46:16.18   +12:48:09.31   1.4774  22.59   0.00        0.19       20.50    0.66      "3 \times 900"
Q2343-BM181     23:46:27.03   +12:49:19.65   1.4951  24.77   0.12        0.29       nan      nan       "4 \times 900"
Q2343-BX163     23:46:04.78   +12:45:37.78   2.1213  24.07   -0.01       0.71       21.38    0.97      "4 \times 900"
Q2343-BX169     23:46:05.03   +12:45:40.77   2.2094  23.11   0.19        0.72       20.75    1.05      "4 \times 900"
Q2343-BX182     23:46:18.04   +12:45:51.11   2.2879  23.74   0.14        0.56       21.60    0.92      "4 \times 900"
Q2343-BX236     23:46:18.71   +12:46:15.97   2.4348  24.28   0.14        0.71       21.25    1.60      "3 \times 900"
Q2343-BX336     23:46:29.53   +12:47:04.76   2.5439  23.91   0.40        1.15       20.80    1.75      "4 \times 900"
Q2343-BX341     23:46:23.24   +12:47:07.97   2.5749  24.21   0.38        0.89       21.40    2.07      "3 \times 900"
Q2343-BX378     23:46:33.90   +12:47:26.20   2.0441  24.80   0.26        0.55       21.90    1.30      "4 \times 900"
Q2343-BX389     23:46:28.90   +12:47:33.55   2.1716  24.85   0.28        1.26       20.18    2.74      "3 \times 900"
Q2343-BX390     23:46:24.72   +12:47:33.80   2.2313  24.36   0.24        0.79       21.29    1.73      "4 \times 900"
Q2343-BX391     23:46:28.07   +12:47:31.82   2.1740  24.51   0.25        1.01       21.93    1.35      "3 \times 900"
Q2343-BX418     23:46:18.57   +12:47:47.38   2.3052  23.99   -0.05       0.37       21.88    1.76      "5 \times 900"
Q2343-BX429     23:46:25.25   +12:47:51.20   2.1751  25.12   0.30        0.85       21.88    1.97      "4 \times 900"
Q2343-BX435     23:46:26.36   +12:47:55.06   2.1119  24.23   0.38        1.03       20.38    1.75      "4 \times 900"
Q2343-BX436     23:46:09.06   +12:47:56.00   2.3277  23.07   0.12        0.47       21.04    0.73      "4 \times 900"
Q2343-BX442     23:46:19.36   +12:47:59.69   2.1760  24.48   0.40        1.14       19.85    2.36      "5 \times 900"
Q2343-BX461     23:46:32.96   +12:48:08.15   2.5662  24.40   0.44        0.90       21.67    1.99      "4 \times 900"
Q2343-BX474     23:46:32.88   +12:48:14.08   2.2257  24.42   0.31        1.15       20.56    1.73      "4 \times 900"
Q2343-BX480     23:46:21.90   +12:48:15.61   2.2313  23.77   0.29        1.03       20.44    1.92      "4 \times 900"
Q2343-BX493     23:46:14.46   +12:48:21.64   2.3396  23.63   0.28        0.78       21.65    0.75      "2 \times 900"
Q2343-BX513     23:46:11.13   +12:48:32.14   2.1092  23.93   0.20        0.41       20.10    1.87      "4 \times 900"
Q2343-BX529     23:46:09.72   +12:48:40.33   2.1129  24.42   0.20        0.91       21.41    1.52      "2 \times 900"
Q2343-BX537     23:46:25.55   +12:48:44.54   2.3396  24.44   0.23        0.72       21.43    1.65      "4 \times 900"
Q2343-BX587     23:46:29.18   +12:49:03.34   2.2430  23.47   0.32        1.12       20.12    1.82      "3 \times 900"
Q2343-BX599     23:46:13.85   +12:49:11.31   2.0116  23.50   0.10        0.81       20.40    1.19      "4 \times 900"
Q2343-BX601     23:46:20.40   +12:49:12.91   2.3769  23.48   0.22        0.75       20.55    1.50      "4 \times 900"
Q2343-BX610     23:46:09.43   +12:49:19.21   2.2094  23.58   0.34        0.75       19.21    2.24      "4 \times 900"
Q2343-BX660     23:46:29.43   +12:49:45.54   2.1735  24.36   -0.09       0.45       20.98    2.26      "2 \times 900"
Q2343-MD59      23:46:26.90   +12:47:39.87   2.0116  24.99   0.20        1.47       20.14    2.59      "4 \times 900"
Q2343-MD62      23:46:27.23   +12:47:43.48   2.1752  25.29   0.21        1.23       21.45    2.23      "4 \times 900"
Q2343-MD80      23:46:10.79   +12:48:33.24   2.0138  24.81   0.09        1.33       21.38    1.15      "4 \times 900"
Q2346-BX120     23:48:26.30   +00:20:33.16   2.2664  25.08   0.02        0.91       nan      nan       "4 \times 900"
Q2346-BX220     23:48:46.10   +00:22:20.95   1.9677  23.57   0.29        0.90       20.82    nan       "4 \times 900"
Q2346-BX244     23:48:09.61   +00:22:36.18   1.6465  24.54   0.41        1.16       nan      nan       "4 \times 900"
Q2346-BX404     23:48:21.40   +00:24:43.07   2.0282  23.39   0.18        0.41       20.05    nan       "5 \times 900"
Q2346-BX405     23:48:21.22   +00:24:45.46   2.0300  23.36   0.08        0.60       20.27    nan       "5 \times 900"
Q2346-BX416     23:48:18.21   +00:24:55.30   2.2404  23.49   0.40        0.75       20.30    nan       "3 \times 900"
Q2346-BX482     23:48:12.97   +00:25:46.34   2.2569  23.32   0.22        0.90       nan      nan       "4 \times 900"
SSA22a-MD41     22:17:39.97   +00:17:11.04   2.1713  23.31   0.19        1.31       nan      nan       "15 \times 720"
Westphal-BM115  14:17:37.57   +52:27:05.42   1.6065  23.41   0.28        0.36       nan      nan       "10 \times 900"
Westphal-BX600  14:17:15.55   +52:36:15.64   2.1607  23.94   0.10        0.46       nan      nan       "5 \times 900"

# 
# U, G, R are from Steidel et al. 2003ApJ...592..728S, 2004ApJ...604..534S using William Herschel Telescope (WHT), in units of AB mag
# J, K are observed with WIRC on the 5m Palomar Hale telescope, in units of Vega mag.
# Filter system used for the deep imaging, Un (3550/600), G (4780/1100), R (6830/1250), and I (8100/1650). -- see Steidel et al. 2003ApJ...592..728S Fig. 1.
# 
